file,mode,name,date,distance_km,notes,id,source,original_file,original_sha256,min_altitude_m,max_altitude_m,original_points,map_points,simplify_degrees
ride__0017_GraphHopper-Track.gpx,ride,Denizli → Kemer,,255.5,,r-0b890d6677044a10b09fa791e89b1338,,,,,,,,
ride__0018_GraphHopper-Track.gpx,ride,Lviv Urban Hromada (loop),,19.0,,r-a11afcff9b1d47ff8887e7ca03882c55,,,,,,,,
ride__0019_GraphHopper-Track.gpx,ride,Lviv Urban Hromada → Гірська сільська громада,,572.8,,r-7ef3d58e53f448628e53a1724cbfcd12,,,,,,,,
ride__0020_GraphHopper-Track.gpx,ride,Hinckley Township → New York,,736.6,,r-266d13dfb0bb49bc8ca74b84272daf25,,,,,,,,
ride__0021_GraphHopper-Track.gpx,ride,Hinckley Township → City of Niagara Falls,,378.5,,r-12582d2eee664139b6db094b6f0c0d22,,,,,,,,
ride__0022_GraphHopper-Track.gpx,ride,Hinckley Township → Town of Ellicottville,,326.3,,r-12d1d54667164c13947d373bd2f240b0,,,,,,,,
ride__0023_GraphHopper-Track.gpx,ride,Columbus → Cleveland,,234.7,,r-0466a89f0e0e4e53953fdf9f4a97e22c,,,,,,,,
ride__0024_GraphHopper-Track.gpx,ride,Lviv Urban Hromada → Pawłokoma,,156.6,,r-6d55df7a4b704e88a49c3c68d0255c37,,,,,,,,
ride__0025_GraphHopper-Track.gpx,ride,SeaTac → Bellingham,,163.7,,r-4b8c465d7c574a5e8a93cc3c2fa797ef,,,,,,,,
ride__0026_GraphHopper-Track.gpx,ride,Lviv Urban Hromada → Lutsk,,152.4,,r-3c78e76ec3034b59a1171feb477564b7,,,,,,,,
ride__0027_GraphHopper-Track.gpx,ride,Bellingham → Everett,,109.9,,r-bd7b3011b06b4cab9b326ae7caee4eea,,,,,,,,
ride__0028_GraphHopper-Track.gpx,ride,Bellingham → Mountlake Terrace,,120.0,,r-b30bfc1b97a5470693896cd59be6d038,,,,,,,,
ride__0029_GraphHopper-Track.gpx,ride,Bellingham → Whatcom County,,95.2,,r-c5502f59bb83447a85332ff56fd7983f,,,,,,,,
ride__0030_GraphHopper-Track.gpx,ride,Lviv Urban Hromada → Slavske Settlement Hromada,,135.7,,r-7864bbb2bf06423ca56779f40f13df2f,,,,,,,,
ride__0031_GraphHopper-Track.gpx,ride,городской округ Железноводск → Верхне-Маринское сельское поселение,,102.2,,r-4ffe3e60d45d40d28316f19ab2b35cd6,,,,,,,,
ride__0032_GraphHopper-Track.gpx,ride,городской округ Железноводск → сельское поселение Этоко,,21.5,,r-993bd5c1a35a46bbad9a42a5e9e5d1e2,,,,,,,,
ride__0033_GraphHopper-Track.gpx,ride,Orio al Serio → Ospitaletto,,50.9,,r-2c98e3658809460aa188765a2caa923c,,,,,,,,
ride__0034_GraphHopper-Track.gpx,ride,Chop Urban Hromada → Budapest,,330.8,,r-e28eb8749ca244e8acaa7e47cde5b963,,,,,,,,
ride__0035_GraphHopper-Track.gpx,ride,Weeze → Duisburg,,61.5,,r-24f9047c4e2649369e16f29485ee17c8,,,,,,,,
